text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
@CelerNetwork @avalancheavax @arbitrum @ethereum @BinanceChain @0xPolygon @optimismPBC @FantomFDN Wallet support planned trust wallet???,0,3,0,0,1469358345849311232,2021-12-15T04:59:30.000Z,969093664348631040,1107373924910841857,1470981820648988674
@Avalanche_Space @Defrost_Finance @partyswapdex @circlepay @avalancheavax @traderjoe_xyz @chainlink @YDragons_ @AxialDeFi @AVME_IO @YDragons_ I'm still happy with those partners @AxialDeFi and I promise to support every platform and project you do,0,0,0,0,1470916792994332673,2021-12-15T04:59:28.000Z,1409531617773723650,1414247723990097925,1470981814412255232
"@avalancheavax @ethereum 
@Wonderland_fi  has not only sold @AVAXDaily and they are holding off @avalancheavax bonds. I think its a pretty big news there, guys. A pretty active defi project has just basically made a statement about L1 tokens are just commodity.",0,1,0,0,1470981759747571712,2021-12-15T04:59:15.000Z,1055894724245155841,1398877110102462466,1470981759747571712
"@Avalanche_Space @circlepay @avalancheavax Wooaah! Another door has been opened! @circlepay, thank you for adding more easy transaction and payment choices to the entire #Avalanche ecosystem. Keep up the excellent work! I'm rooting for you to succeed.",0,0,0,0,1470807255700602881,2021-12-15T04:58:28.000Z,1409531617773723650,1467080989490880513,1470981562082938880
@mhp_crypto @RealCryptoGraph @KhunJoe5 @vespertinecap @FOMOcraft @avalancheavax @avaxholic @Avax_Journal @avalabsofficial @AVATAR_AVAX @tervelix Woww =))) At least you'll surely get airdrop for as special minters. Will you mint more? 😂,0,1,0,0,1470975556611022849,2021-12-15T04:56:36.000Z,1393213136023396352,1436616419966283785,1470981091972374528
@dypfinance @bud_crypto @avalancheavax @BinanceChain @PancakeSwap @pangolindex Wow!!! 2000% APY?!? 🥳🥳,0,0,0,0,1470730289899048977,2021-12-15T04:56:02.000Z,1308507112218284032,25041930,1470980949156446210
@CoinDesk @avalancheavax @IanAllison123 Does this mean we can swap USDC.e to USDC and then send to central exchanges to cash out now?,0,0,0,0,1470725780330192896,2021-12-15T04:55:57.000Z,1333467482,1450990024200122371,1470980926385815552
@Avalanche_Space @Defrost_Finance @partyswapdex @circlepay @avalancheavax @traderjoe_xyz @chainlink @YDragons_ @AxialDeFi @AVME_IO Again Congratulations @partyswapdex on your New Collection LitePaper .Thank you for Creating this New NFT collections of yours .anther achievement to your Platform.Kudos!,0,0,0,0,1470916792994332673,2021-12-15T04:55:35.000Z,1409531617773723650,1470246514379587586,1470980835096805376
@Avalanche_Space @circlepay @avalancheavax This is it @circlepay support $USDC on @avalancheavax ! This is for the seamless transaction in every trading experience! So blast!,0,0,0,0,1470807255700602881,2021-12-15T04:53:54.000Z,1409531617773723650,1243666342621761536,1470980411182714880
@avaxholic @avalancheavax @traderjoe_xyz @pangolindex @Uniswap @PancakeSwap @dydxprotocol @SpookySwap @CurveFinance @QuickswapDEX joe is undervalue,0,0,0,0,1470952529630732292,2021-12-15T04:52:24.000Z,1392040970431074309,1387325318134784001,1470980033397538819
@Dogeon_Official @RealCryptoGraph @KhunJoe5 @vespertinecap @FOMOcraft @avalancheavax @avaxholic @Avax_Journal @avalabsofficial @AVATAR_AVAX @tervelix is me https://t.co/qXG18Sdb78,0,0,1,0,1470975556611022849,2021-12-15T04:51:47.000Z,1436616419966283785,1398125034690936837,1470979878526746626
"@AvaxGuardians @AvaxNFTs @avalancheavax @GetKalao Hello! Please check the DM for my proposal, thank you!",0,0,0,0,1468359182692847620,2021-12-15T04:51:19.000Z,1452012084854673411,1266499767523086338,1470979761547583496
@avaxholic @AvalaunchApp @traderjoe_xyz @HurricaneSwap @dypfinance @BenqiFinance @Colonylab @pangolindex @avalancheavax @MIM_Replenishes @Wonderland_fi What is xava,0,0,0,0,1470968169666068487,2021-12-15T04:47:17.000Z,1392040970431074309,1261684941978361856,1470978745909809155
@Dogeon_Official @RealCryptoGraph @KhunJoe5 @vespertinecap @FOMOcraft @avalancheavax @avaxholic @Avax_Journal @avalabsofficial @AVATAR_AVAX @tervelix My doggies @Dogeon_Official and very excited for the game https://t.co/qBk5Znq0A4,0,0,1,0,1470975556611022849,2021-12-15T04:46:56.000Z,1436616419966283785,1445018478109331459,1470978657623576577
send it 🚀 @avalancheavax https://t.co/xOtKMqGyLM,0,0,1,0,1470978537616289796,2021-12-15T04:46:27.000Z,,1136291018326925312,1470978537616289796
"@InsureToken @0xPolygon @avalancheavax Dear Twitter handler, kindly convey this information to your CEO.​

​ Buy PREMIUM Domain https://t.co/0svtTD4Dar
@GoDaddy
​
​https://t.co/dXopVqAhWW https://t.co/3GEzr5Q1TK",0,0,0,0,1469188248085975040,2021-12-15T04:45:31.000Z,1148647206104309762,2835676560,1470978304173768705
@Dogeon_Official @RealCryptoGraph @KhunJoe5 @vespertinecap @FOMOcraft @avalancheavax @avaxholic @Avax_Journal @avalabsofficial @AVATAR_AVAX @tervelix it's on my pp,0,1,1,0,1470975556611022849,2021-12-15T04:44:42.000Z,1436616419966283785,1351633293557592067,1470978098862735362
@avaxholic @AvalaunchApp @traderjoe_xyz @HurricaneSwap @dypfinance @BenqiFinance @Colonylab @pangolindex @avalancheavax @MIM_Replenishes @Wonderland_fi Lol crap info.,0,0,1,0,1470968169666068487,2021-12-15T04:41:41.000Z,1392040970431074309,1253687578089250823,1470977337256648709
@Avalanche_Space @Defrost_Finance @partyswapdex @circlepay @avalancheavax @traderjoe_xyz @chainlink @YDragons_ @AxialDeFi @AVME_IO A lot of good news brings to us by @Avalanche_Space @AVME_IO desktop wallet is surely the new wallet that everyone will love to use and good to know that @circlepay support $Usdc on @avalancheavax this will be a good news to $usdc holder.,0,0,0,0,1470916792994332673,2021-12-15T04:40:33.000Z,1409531617773723650,1366731444404379648,1470977054392860676
@Dogeon_Official @RealCryptoGraph @KhunJoe5 @vespertinecap @FOMOcraft @avalancheavax @avaxholic @Avax_Journal @avalabsofficial @AVATAR_AVAX @tervelix there are only 2 https://t.co/O3O6TQMcLj,0,0,2,0,1470975556611022849,2021-12-15T04:38:51.000Z,1436616419966283785,1136291018326925312,1470976626943041542
