text,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,in_reply_to_user_id
"Wonderful  project, this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future and the cryptocurrency will be the best.

@shalukasudeep98
@atiqurrahman024
@basu0681
@baklavaspace @avalancheavax",1460647868339867649,1482215647341944832,2022-01-15T04:58:43.000Z,0,1,0,0,1482215647341944832,
"If you are curious about differences and similarities between L1 protocols (@solana, @avalancheavax, @NEARProtocol), check out this excellent discussion with @hosseeb and @naval from earlier today:

 https://t.co/Jo6sONLekj",25953324,1482215576097345537,2022-01-15T04:58:26.000Z,0,3,11,0,1482215576097345537,
"Nice project &amp; congratulations to the team for their efforts &amp; dedication highly appreciated the visionary thought of the projector and it will create history &amp; go to the moon

@zoza7772
@onD29000026
@ABDULMO01604053
@baklavaspace @avalancheavax",1460635963038728194,1482215479536197633,2022-01-15T04:58:03.000Z,0,0,0,0,1482215479536197633,
"Good project I love this project. Thanks Smiling face with smiling eyes For giving this opportunity and don't miss this Project

@PhuocTh21508362
@jokosun17564409
@AirdropSrilanka
@baklavaspace @avalancheavax",1460613182746025992,1482215292495400963,2022-01-15T04:57:18.000Z,0,0,1,0,1482215292495400963,
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain This is a great project. Team DEV has in-depth blockchain experience. And the project is following the development trend of blockchain in the future. I strongly support this project!
@apolohau608 @PhanHau18 @thanhhau608 @thanhca16",1143840652364378112,1480457116435587074,2022-01-15T04:57:17.000Z,0,0,0,0,1482215286489358336,1463905680784433166
"@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi Your project is amazing. You have a great Team and strong Community, I am very impressed.Congratulations to you 🥳😍
@KingBD71
@Reazaulkarim07
@munnasha2277",1407665954306203659,1481939767617011714,2022-01-15T04:57:10.000Z,0,0,0,0,1482215257322180610,1460891627623522311
@baklavaspace @avalancheavax This is a very developed and promising project https://t.co/VlHo0UQ6y9,1401022705994854404,1482215253123670017,2022-01-15T04:57:09.000Z,0,0,0,0,1482215253123670017,1451531402739019779
@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi Great,1461708546832273414,1481939767617011714,2022-01-15T04:57:08.000Z,0,0,0,0,1482215248316833792,1460891627623522311
@kyle_chasse @paid_network @avalancheavax Progress 💯 💯 💯,1377266547765481479,1482014215825391622,2022-01-15T04:56:54.000Z,0,0,1,0,1482215191165218820,1187664208160124930
"@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi Good project
@nabinmurmu37 
@SSaren1992 
@SouravM21603818",1450655521199968259,1481939767617011714,2022-01-15T04:56:48.000Z,0,0,0,0,1482215166737797120,1460891627623522311
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain This is very nice project. I am very glad to participate this project

@Naimulkabir11
@payelbaby516
@MdShaki98142207 

#RacingFish #FiFi #AVAX #AVAXNFT $FiFi",1454824772676689922,1480457116435587074,2022-01-15T04:56:42.000Z,0,0,0,0,1482215142503116804,1463905680784433166
"@AvaxLions @avalancheavax @LydiaFinance Thank you for introducing this project to the public, hopefully in the future this project can provide satisfaction to all those who have worked hard on this project 

@aqua123123123 
@TesAgnessha 

#ForLionsByLions",1473227365132111873,1482071655975473153,2022-01-15T04:56:40.000Z,0,0,0,0,1482215131669233664,1438093323319844871
"@sthlikeelvis @BSCgemTime @CryptoCartCC @JadeProtocol @chikn_nft @avalancheavax ‼️ BIG PROJECT ‼️ DnDMetaverse Union Play🚀  ✅ Audit Approved ✅ Team 50% Holdings Locked  🏆Play PVE Mission and Earn BNB Directly 🏆 The First Castle War Play with PVP Mode 🎁  Build your Guild and Own Castle  👨‍👨‍👦JOIN : https://t.co/IXvstKWb3P 

@Lordmafyah 
January 15,2022",1449273221061046273,1479333327790350338,2022-01-15T04:56:17.000Z,0,0,0,0,1482215035422515200,403939143
@ERC20_News @Platypusdefi @avalancheavax What will be the effects of this protocol to the Avalanche? Does this create nee advantages?,1446268645651353615,1482113611858419712,2022-01-15T04:56:16.000Z,0,0,0,0,1482215031324700675,1333357887830315009
