text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
"@adam_is_based @el33th4xor @Don_wonton @avalancheavax @cgcardona @AKITA_network  is transitioning into a DAO or a decentralized autonomous organization, we will be concentrating our efforts as a DAO mostly through discord while using the new $gAKITA token to signal for community approval. Stay tuned in the discord/telegram for more!  #AVAX https://t.co/E6K00E3V15",2,0,6,0,1356424409242828801,1459334682512920580,1175941501429436416,2021-11-15T04:56:30.000Z,1460109432273002499
@pangolindex @WeekInAvalanche @avalancheavax @avalabsofficial @hmmtiber @demirelo @BenqiFinance @luigidemeo @jtrollip @kenburbary @pangolindextr @reviewblocks when s #png $png party ?,0,0,2,0,1330644600801865728,1460092321098174465,1404708083247501320,2021-11-15T04:56:04.000Z,1460109321476452360
"@avalancheavax @AKITA_network  is transitioning into a DAO or a decentralized autonomous organization, we will be concentrating our efforts as a DAO mostly through discord while using the new $gAKITA token to signal for community approval. Stay tuned in the discord/telegram for more!  #AVAX https://t.co/tLEUM8vOQ7",2,0,6,0,1055894724245155841,1457068751107600388,1175941501429436416,2021-11-15T04:54:51.000Z,1460109016407834625
"@avalancheavax @AKITA_network  is transitioning into a DAO or a decentralized autonomous organization, we will be concentrating our efforts as a DAO mostly through discord while using the new $gAKITA token to signal for community approval. Stay tuned in the discord/telegram for more!  #AVAX https://t.co/oPClqLCLKR",4,0,6,0,1055894724245155841,1457060267469197319,1175941501429436416,2021-11-15T04:54:24.000Z,1460108904260464643
"#ATH #AVAX 

Just a few hours ago, we asked when 
@avalancheavax

 will reach $100 price 

The time has come and another all-time-high reached gain. Congratulations to all AVAX holders

👉 Watch Video: https://t.co/E571mnGoSH

#Avalanche #AVAX $AVAX",0,0,2,0,,1460108886996705282,1423470926163677189,2021-11-15T04:54:20.000Z,1460108886996705282
Why not? Could be huge! @apexthetoken @avalancheavax #memecoin https://t.co/E04LGshj3Z,0,0,1,0,,1460108092776009728,811220443373809664,2021-11-15T04:51:11.000Z,1460108092776009728
"Yesss. Now new target 4 digit 👀
$avax @avalancheavax @avalanche_tr $xava @binance https://t.co/agrSQRq3GP",0,0,1,0,,1460106935622115328,1453620775810965506,2021-11-15T04:46:35.000Z,1460106935622115328
@Coin98Analytics @BinanceChain @FantomFDN @terra_money @avalancheavax @0xPolygon @wavesprotocol @CeloOrg @arbitrum @HECO_Chain @PolyNetwork2 ETH is still a winner take all .,0,0,0,0,1282956858664185856,1456692313485312001,1460104800746414080,2021-11-15T04:46:01.000Z,1460106790620729351
"@Nirund14 @letarabella @avalancheavax @v_kool @Meeh @NinSnowCrew #AKITA network is transitioning into a DAO or a decentralized autonomous organization, we will be concentrating our efforts as a DAO mostly through discord while using the new $gAKITA token to signal for community approval. Stay tuned in the discord/telegram for more!  #AVAX https://t.co/TK104mdcqU",6,0,8,0,1392304126822805505,1458132281428627457,1175941501429436416,2021-11-15T04:45:42.000Z,1460106711100841986
@pangolindex @avalancheavax @avalabsofficial @hmmtiber @demirelo @BenqiFinance @luigidemeo @jtrollip @kenburbary @pangolindextr @reviewblocks @sporeproject #avax here we goooo !! https://t.co/IDHoW6j5Zq,0,0,0,0,1330644600801865728,1460092321098174465,1397527133526843393,2021-11-15T04:45:20.000Z,1460106621971881984
"@Xantus_Insights @ethereum @BinanceChain @solana @terra_money @avalancheavax @Tronfoundation @FantomFDN @0xPolygon @ArbitrumNews @wavesprotocol Must join this project 👍
@kusumkhadka369 
@kumarkhadka369 
@kamalakhadka369 
@aarkukhadka @Aarushkhadka369 
@ReshmaKhadka369",0,0,0,0,1409584939981414418,1459985317646286858,1352031027976404992,2021-11-15T04:43:54.000Z,1460106261278572544
"@Rikuun12 @DanielxKilleen @avalancheavax Not a sign it will fail, but very valid point. Thankfully wallet and UI are much easier to improve than later 1 protocols.",0,2,0,0,1259501806301765632,1460040777770360832,461513218,2021-11-15T04:36:39.000Z,1460104433908338689
Crabada pretty cool adventure LP farming game on @avalancheavax network @PlayCrabada @traderjoe_xyz Only like 53M MC on the CRA token good time to ape maybe?,0,0,1,0,,1460103296983650305,1425276787307732995,2021-11-15T04:32:08.000Z,1460103296983650305
"#ATH #AVAX 

Just a few hours ago, we asked when @avalancheavax will reach $100 price mark.👀

The time has come and another all-time-high reached gain. Congratulations to all AVAX holders🚀

#Avalanche #AVAX $AVAX https://t.co/d1Oxa3Gr6V",1,0,31,0,,1460101964482506752,1394971681144246274,2021-11-15T04:26:50.000Z,1460101964482506752
"@LunarCRUSH @Kevin_Schow @keep_project @NuCypher @TheLTONetwork @THORChain @avalancheavax @HathorNetwork @StarLinkETH @GlitchProtocol @MOBOX_Official @BscPitbull ＃Starl is undoubtedly seriously underestimated, and when its little game is released, it will lead the meta-universe circle again. https://t.co/QOdQacaQ0v",0,0,2,0,988992203568562176,1459803810549874688,1347035210718740481,2021-11-15T04:26:45.000Z,1460101944421216266
@pangolindex @avalancheavax @avalabsofficial @hmmtiber @demirelo @BenqiFinance @luigidemeo @jtrollip @kenburbary @pangolindextr @reviewblocks This is Epic 💘💘,0,0,0,0,1330644600801865728,1460092321098174465,1420445792804868101,2021-11-15T04:25:19.000Z,1460101584545853440
"@CFarmeur @cookiezer @beefyfinance @AaveAave @QiDaoProtocol @avalancheavax Yes, please et merci :-)",0,0,0,0,1372686987543646209,1460052488351059968,1274343043567685634,2021-11-15T04:23:15.000Z,1460101062908518402
@MITA_CRYPTO @tractorjoe_xyz @traderjoe_xyz @avalancheavax @PlayCrabada @binance @gate_io @AvalaunchApp @solana @safemoon @Shibtoken @BabyDogeCoin @dogecoin @coingecko @CoinMarketCap @elonmusk @cz_binance @coin98_wallet @coinbase @Bitcoin Love @tractorjoe_xyz,0,1,1,0,1405166912854585349,1460092102872760321,874448618794524672,2021-11-15T04:20:48.000Z,1460100448132628481
@CryptoCrunchApp @Wonderland_fi @TheLTONetwork @RmrkApp @dehub_official @RadioCacaNFT @Shibtoken @PlayCrabada @RenderToken @avalancheavax @SurfMoonToken To be rich #dehub,0,0,0,0,4649374704,1459939587564834818,1199050684752105479,2021-11-15T04:17:52.000Z,1460099708077195269
"Among the Top 10 gainers listed in the last 24H was @xDollarFi 🔥🔥🔥

$XDO @avalancheavax https://t.co/d9ss8g3Fr3",0,0,0,0,,1460098696281038848,1092928998,2021-11-15T04:13:51.000Z,1460098696281038848
@DarrenSRS @traderjoe_xyz @avalancheavax @chubbiverse @BushRobins @golara_art Congrats ser.,0,0,1,0,394138197,1460094647196209152,1357025720279662596,2021-11-15T04:12:39.000Z,1460098397386518533
"Top Gainers in @Avalancheavax Ecosystem Last 7D

$YTS @YetiSwap
$VEE @blockv_io
$QI @BenqiFinance
$SALE @dxsale
$SNOB @snowballdefi
$AVXT @AvaxStars
$ROCO @rocofinance
$ZERO @OfficialZeroDEX
$ALEPH @aleph_im
$FXS @fraxfinance

#avalanche $AVAX https://t.co/s2y69DireO",9,19,25,2,,1460097979814187015,1390321458140778499,2021-11-15T04:11:00.000Z,1460097979814187015
"@Camoliverpool @TheCryptoLark @FantomFDN @avalancheavax @bnbpay is Trending ☄️☄️☄️☄️🌪
Contract - 0xebc76079da0c245fae7225b58a57a54809b40618
@coinranking @CoinMarketCap @Cointelegraph @coingecko @BitMartExchange #BNBPAYGIVEAWAY #BNBPAY50K https://t.co/IJXjjkwrkp",0,0,0,0,1424744858305011715,1460097383660879877,1673376792,2021-11-15T04:10:53.000Z,1460097951015919621
