author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,in_reply_to_user_id,created_at,id,text
1176429400243523585,0,0,0,0,1448576240575733762,1210331258938691584,2021-10-15T04:59:17.000Z,1448876109102202882,@iamZatoshi @avalancheavax @digitalpoundfdn Should we start buying avax?
1440682310785929227,0,0,0,0,1448532291148402688,974473136983891968,2021-10-15T04:56:00.000Z,1448875280806801411,"@coin98_wallet @avalancheavax @traderjoe_xyz @CanaryDex @coin98_exchange @BenqiFinance @snowballdefi @AvalaunchApp @sporeproject @KnitFinance @yieldyak_ @dypfinance It is a greatest improvement .....it make $DYP in a high level it is a happy news to the users....it make $DYP to the moon
@dypfinance 
#etherium #BinanceSmartChain 
#Avalanche #Altcoins"
1405574350720454656,0,0,0,0,1448791920830996486,4852161465,2021-10-15T04:55:31.000Z,1448875157859229708,@MJthePopstar @Dieruno2 @solana @avalancheavax You mean some prize like a “compliment” ?
1447273630203793413,0,0,0,0,1448664912461393935,1330644600801865728,2021-10-15T04:54:28.000Z,1448874893848809474,"@pangolindex @CoinMarketCap @avalancheavax Jade Currency - Supply: Only 90.000.000 Promising project.  Buy $jade  🔝💚 💎 
@CurrencyJade @JadeCurrencyBR @binance @CameronKallhoff @krakenfx @cz_binance @elonmusk

#Bitcoin #dogecoin #Solana #Ethereum  #Coin98 #NFT #Crypto #Binance #coti #Cardano #Airdrop #AVAX #axs #shiba https://t.co/Bld8vINCYY"
540322472,0,1,0,0,1448650895651078145,540322472,2021-10-15T04:49:01.000Z,1448873525314478084,"@PORTuGEEZE @relay_chain @avalancheavax @0xPolygon @Allbridge_io @0x_nodes @elk_finance So, TBC, here we have 

1) a past event = take a guess; gl

2) an on going event = keep guessing

I’m not disparaging them or anything of the sort mind you. But I’m perfectly fine with articulating that information flow can hard to come by on this one. It’s just their style."
540322472,0,2,0,0,1448650895651078145,1412897048328871936,2021-10-15T04:45:30.000Z,1448872637694894099,"@PORTuGEEZE @relay_chain @avalancheavax @0xPolygon @Allbridge_io @0x_nodes @elk_finance 1) what formula was used to drop BIOS to Xiot wallets following the snap shot?

2) What’s the emission rate on BIOS for staking XIOT right now? (Your answer needs to include a number of BIOS per period (time or block), or a formula=#, &amp; the total amount of XIOT currently staked)"
3855809293,0,0,1,0,1448784234764718080,1441400509798121478,2021-10-15T04:42:14.000Z,1448871818413023239,@AvaxRarity @avalancheavax @luigidemeo @AvaxApesNFT This looks so cool! Ready to find more apes https://t.co/mplS51ojzk
368591988,0,1,3,0,1448678622643040261,969649866937745408,2021-10-15T04:39:46.000Z,1448871195508543491,@DeroProject @AnothaCoin @ChrisBlec @OlympusDAO @SecretNetwork @avalancheavax @optimismPBR @arbitrum @FantomFDN @xdaichain I see you cap.
1289612209631502336,0,0,9,0,1448678622643040261,969649866937745408,2021-10-15T04:38:01.000Z,1448870757040279554,"@DeroProject @AnothaCoin @ChrisBlec @OlympusDAO @SecretNetwork @avalancheavax @optimismPBR @arbitrum @FantomFDN @xdaichain There he is 💪🏻 Sir, yes sir! Captain!! https://t.co/MAQbgFLJBt"
1445813957353254912,0,0,1,0,1448870603423944704,,2021-10-15T04:37:25.000Z,1448870603423944704,"My entry

@CryptoRubic 
 @traderjoe_xyz 
 #DeFi 

#Rubic 
@avalancheavax  
#Avalanche 
 #Multichain 

#AVAX $JOE
#MEMEContest
#memecompetition https://t.co/B2qhLiBLpd"
4852161465,0,1,1,0,1448791920830996486,1405574350720454656,2021-10-15T04:36:53.000Z,1448870469361274889,"@Allbridge_io @Dieruno2 @solana @avalancheavax Umm. Companies are not always too good at taking a compliment. I enjoyed the aaUSDC bridge too, but nothing is good enough to take a survey from a shady link."
1392040970431074309,36,16,98,12,1448869518487392262,,2021-10-15T04:33:06.000Z,1448869518487392262,"Latest news update in @avalancheavax ecosystem!!

#AVAX #Avalanche #AvalancheRush #Avaxholicnews https://t.co/JFJaoMLPNK"
590608051,0,0,0,0,1448262692335149059,1431926261841113100,2021-10-15T04:26:55.000Z,1448867961079427079,"@AvaxGoatz @Baguette_avax @NFTradeOfficial @YetiSwap @AVAXDaily @avalancheavax @avaxtr This is awesome project. Hopefully this project is going to be great. Thanks for the oppurtunity for all of us to join this project.
@Dejavu3Second 
@dita_sintya
@Berkah_Win"
1434340462521987075,0,0,0,0,1448262692335149059,1431926261841113100,2021-10-15T04:26:21.000Z,1448867821480382466,"@AvaxGoatz @Baguette_avax @NFTradeOfficial @YetiSwap @AVAXDaily @avalancheavax @avaxtr This project will be truly extraordinary going forward as it will be an incentive for the next generation of farmers. Next level for the industry. This project also has 2 genes that can benefit farmers 👍
About @AvaxGoatz if he has a barrier he will destroy itit ."
1433332481143414784,0,0,0,0,1448673095187714049,1409531617773723650,2021-10-15T04:20:43.000Z,1448866403096793088,"@Avalanche_Space @CryptoRubic @SushiSwap @avalancheavax @CryptoRubic, best of luck! We are confident that this DEX will be another triumph to be proud of. Do a fantastic job on this assignment, and we'll be here to help you out."
1405574350720454656,1,2,4,0,1448791920830996486,1413833850543804417,2021-10-15T04:20:01.000Z,1448866227091300355,"@Dieruno2 @solana @avalancheavax Thank you! Allbridge team will appreciate if you leave your feedback on Trustpilot:

https://t.co/DjAZOitNHd"
1434431012751163394,4,2,23,0,1448865638911467523,,2021-10-15T04:17:41.000Z,1448865638911467523,"Once $HAPI (sleeping-giant) wakes up

Its game/set/match

@solana @NEARProtocol @HECO_Chain @XinFin_Official @0xPolygon @i_am_hapi_one @bocachica_io @avalancheavax @ReefDeFi @Ariadne_finance @auroraisnear @Allbridge_io @risk_swap @apyswap @DafiProtocol
Psst 3 days till mvp🤔 https://t.co/gouFqw1x76"
