text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
@AVME_IO @avaxholic @avalancheavax @pangolindex @penguin_defi @snowballdefi @traderjoe_xyz @YetiSwap @HuobiGlobal Whennn moonnnnn?,0,2,1,0,1437740610371260423,2021-09-15T04:59:06.000Z,1336417138920263681,1297571241285410816,1438004426615099394
"@coin98_exchange @yayprotocol @avalancheavax good project
#C98 $YAY
 @Nahid449 @NAHID450 @Nahid451",0,0,0,0,1437365072167268363,2021-09-15T04:52:53.000Z,1407921528260337677,1150250340501139456,1438002862764670979
"@coin98_exchange @yayprotocol @avalancheavax It’s amazing event and very stong project, I hope this project will progress and develop in the future and I will always support.

@AbdullahBinMM1
@AbdullahBinMM2
@AbdullahBinMM3

$YAY #Airdrop #Crypto #BSC #AVAX #BinanceSmartChain #COIN98",0,0,0,0,1437365072167268363,2021-09-15T04:51:03.000Z,1407921528260337677,1381894334681784322,1438002397926739969
@coin98_exchange @yayprotocol @avalancheavax Nice project,0,0,0,0,1437365072167268363,2021-09-15T04:40:29.000Z,1407921528260337677,1430863642153537538,1437999738263990278
"@OpenOceanGlobal @TheCryptoLark @avalancheavax GameFi is on mission to create the most addictive bank ever played🌟

@GamefiProtocol (GFI) will list on  September 15, 2021 at Pancakeswap 12:00-14:00(UTC).

GFI token contract address: 0xdd6c6c114db071efe0bab6051268227ce64c3ffe

Let's go to the moon together🥳

#GameFi https://t.co/yUeEw2m0PI",0,0,0,0,1437778247622795275,2021-09-15T04:37:59.000Z,1295973574725926913,1435271165950394372,1437999109827301376
"@FeiStrife @avalancheavax @solana @cosmos .@tendermintHQ is the most battle tested POS consensus protocol in all of blockchain, and the zones are independent from the main hub.  Experience, development, and long term testing pays off.",1,0,4,0,1437877664057077761,2021-09-15T04:35:27.000Z,1235131836596187136,1360003094176759808,1437998471714414593
@TipBlueBot @AvawareAVE @avalancheavax @avaxholic Now because of this blue farm my portfolio will be green😍😍,0,0,0,0,1437804980816207883,2021-09-15T04:30:10.000Z,1427545115380305920,1368415473994399747,1437997146037374981
@coin98_exchange @yayprotocol @avalancheavax #C98 $YAY.  Good,0,0,0,0,1437365072167268363,2021-09-15T04:26:07.000Z,1407921528260337677,1437724617875943424,1437996125483528193
@coin98_exchange @yayprotocol @avalancheavax Nice project and congratulations to the team for their efforts and dedication and highly appreciated the visionary thought of the projector and it will create history Sign of the hornsit will go to moon✈✈,0,0,0,0,1437365072167268363,2021-09-15T04:24:15.000Z,1407921528260337677,1437383128268500992,1437995654639341569
@x3ideRaven @ZoltanAtom @avalancheavax @solana @cosmos More people need to read this!,0,0,1,0,1437877664057077761,2021-09-15T04:23:34.000Z,1360003094176759808,897572420,1437995484073824264
"@coin98_exchange @coin98_exchange @yayprotocol @avalancheavax
Nice project and congratulations to the team for their efforts and dedication and highly appreciated the visionary thought of the projector and it will create history Sign of the hornist will go to the moon",0,0,0,0,1437365072167268363,2021-09-15T04:23:15.000Z,1407921528260337677,1437383128268500992,1437995401894772736
"@SolanaStatus Come check out @avalancheavax.  
$AVAX",0,0,0,0,1437856638279487493,2021-09-15T04:20:54.000Z,1291496013551661056,459781263,1437994811865251844
@rogerclu @avalancheavax I hope it reaches 100 in a month or two as one of my friend has bought it to cover his losses. He already lost 50% of his account worth by trading in September 😐 https://t.co/Nggdg0TxNu,0,1,1,0,1437805295665881101,2021-09-15T04:19:21.000Z,27754125,1408491388862451715,1437994422160052225
@coin98_exchange @yayprotocol @avalancheavax Good,0,0,0,0,1437365072167268363,2021-09-15T04:18:07.000Z,1407921528260337677,1358057007824080897,1437994113647796224
