text,in_reply_to_user_id,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id
@Shade_Protocol @SecretNetwork @cosmos @terra_money #DBA Token is at Dafrixchange Pro and also at Pancake swap,1431764394464223237,1253240044988620801,1493253802983571464,2022-02-15T04:56:30.000Z,0,0,1,0,1493449113018552323
@knowhere_art @terra_money Nice projects,1438400822040154115,1395719118343442441,1478712916413071363,2022-02-15T04:55:55.000Z,0,0,0,0,1493448969526988804
"@knowhere_art @terra_money good job.
@ssam32370917 @im_hyeonseung @chainmester",1438400822040154115,1464403963860914177,1478712916413071363,2022-02-15T04:55:16.000Z,0,0,0,0,1493448802589573120
@knowhere_art @terra_money nice project,1438400822040154115,1477689140334325762,1478712916413071363,2022-02-15T04:54:07.000Z,0,0,0,0,1493448514340540418
"@Gamestarter Thanks! ❤️🏖️

Terra (LUNA) is a blockchain project that seeks to create an entire ecosystem focused on the generation of DeFi applications on a high-speed blockchain and the ease of generating stablecoins anchored to the main fiat currencies around the world 

 @terra_money",999981841909153793,1374584551251525632,1493255346588205056,2022-02-15T04:49:00.000Z,0,0,0,0,1493447227817275394
@sm11son @PoppinPuffins @terra_money Very nice Ser. Baby Bjorn club. 🤣,343714161,946994651197669379,1493162507531337730,2022-02-15T04:48:12.000Z,0,0,0,0,1493447024934801410
"@relay_chain $RELAY
@RocketVault_ $RVF
@RoyaleFNBR $ROYA
@ShadowsNet $DOWS 
@ShieldFinance $SHLD
@solana $SOL 
@sovifinance $SOVI
@splytcore $SHOPX
@SpoolFi $SPOOL
@SuperFarmDAO $SUPER
@SushiSwap $SUSHI
@standardweb3 $STND
@StarterXyz $START
@terra_money $LUNA $UST",1337752367371055105,1337752367371055105,1493405836693147650,2022-02-15T04:46:08.000Z,0,1,9,0,1493446506984132611
".@Playible was thrilled to officially confirm their $10M fundraising in their pre-seed evaluation with the participation of @terra_money, @hartmanncap, @grizzlycapitalx, @bigbrainvc, and others.
$UST $LUNA

#Playible #Terra #Funding #investment #crypto #blockchain https://t.co/QkHwJn8qpi",,1471695788568768513,1493445987435974657,2022-02-15T04:44:04.000Z,5,1,12,0,1493445987435974657
"@knowhere_art @terra_money This project is very good and has a promising future.ireally hope to be one of the lucky people who join this project.
Thank you.
Good health and success for all of us.
@Admirald01 @Kaydo0015 @Aqua9919",1438400822040154115,1485184172675432448,1478712916413071363,2022-02-15T04:41:49.000Z,0,0,0,0,1493445419434909697
@arthuryeti @terra_money Could be convinced ngl,47754498,2431103047,1493150493530804226,2022-02-15T04:40:17.000Z,0,0,2,0,1493445032828932096
"@knowhere_art @terra_money This is a good and really excellent project, the rewards are very high. I am very happy to be a part of the project, thanks to the team for sharing to the community thank you.
@mdshaki76472443
@Azizuli78944280 
@mizan34174524
@MdAbuHanaMosto1",1438400822040154115,1435113825070563340,1478712916413071363,2022-02-15T04:40:01.000Z,0,0,0,0,1493444964675694594
@knowhere_art @terra_money Good projects,1438400822040154115,1326747049908334598,1478712916413071363,2022-02-15T04:39:10.000Z,0,0,0,0,1493444753048088577
"If I had a Luna for every time I thought about Luna, I still wouldn't have enough Luna 🌖

Pretty sure @Cephii1 would back me up on this 🤔

#LUNAtics #LUNA #UST @terra_money https://t.co/gwN1PYaSua",,1490100156955770880,1493444364110266369,2022-02-15T04:37:37.000Z,0,1,11,0,1493444364110266369
"@knowhere_art @terra_money Your project is very good, I hope your project can be successful and successful in the future, I also hope the community can grow even bigger than now. Good luck!

@ZuxinLuwo 
@XianChenlang 
@XioyanWuzi 
@_AnandaTasyah 
@DewaPerang27",1438400822040154115,1483061167971266561,1478712916413071363,2022-02-15T04:37:09.000Z,0,0,0,0,1493444245608603649
"@eeyernlee @terra_money @Nationals COMPLETELY agree here. 

Docs page is also overloaded 4 a noob. Just need to get the wallet and put UST in Anchor. Anchor should be a prime 1st use case.

When I tell no coiners 200k in Anchor is $3250 a month, they shit a brick 🧱",3186479000,123356887,1493004777843687426,2022-02-15T04:35:07.000Z,0,0,0,0,1493443732141715460
@arthuryeti @terra_money Keramas please for the surfing,47754498,1384169001224347660,1493150493530804226,2022-02-15T04:34:52.000Z,0,0,1,0,1493443672108843009
@jackrabbithanna @eeyernlee @terra_money @Nationals @coinbase @FTX_Official @cryptocom They’ve told and begged Coinbase. They’re too busy or devs don’t care. They make too much money and have tons of similar “but just do this simple thing preeeease” requests. Hundreds upon hundreds of these requests. In time.,2894161075,123356887,1493004777843687426,2022-02-15T04:30:54.000Z,0,1,0,0,1493442673390370817
"@knowhere_art @terra_money Nice project and congratulations to the team for their efforts and dedication and highly appreciated the visionary thought of the project and it will create history and go to 🌙🌙🚀🚀🚀🚀🎉🎉🥳🥳.

@S_a_m_i_k_h_a_n 
@Sami_Khan_TS 
@AirdropKungfu 
@Airdrop_TS1",1438400822040154115,1485224505970933765,1478712916413071363,2022-02-15T04:29:37.000Z,0,0,0,0,1493442348092690433
"@TheDefiJedi @terrabayio @terra_money @luart_io Thanks for this opportunity
@hhdhdhdhd1 @Diamondgold88 @ddddddd234124",884568713982164992,1236467080544862209,1493142565528301568,2022-02-15T04:24:10.000Z,0,0,0,0,1493440978228858883
"@knowhere_art @terra_money great platform on terra chain , with many feature

#LUNAtics $UST $LUNA #NFTMarketplace",1438400822040154115,1241743873010884608,1478712916413071363,2022-02-15T04:23:25.000Z,0,0,0,0,1493440790366142464
"@TheDefiJedi @terrabayio @terra_money @luart_io Wow ! Thanks !
@PanagioAggelo @ddddddd234124 @themismufn",884568713982164992,733605384703901697,1493142565528301568,2022-02-15T04:22:26.000Z,0,0,0,0,1493440539550785541
"@knowhere_art @terra_money Good job and good project sir... Just be optimistic to the moon.. Keep spirit sir. 
@ontax1991  @KiddMahesacruz",1438400822040154115,1461017735425519618,1478712916413071363,2022-02-15T04:18:07.000Z,0,0,0,0,1493439454505160704
@knowhere_art @terra_money Very good project. I'm sure the dev team is working really hard. And I'm sure many people will be interested in this project.,1438400822040154115,981727902,1478712916413071363,2022-02-15T04:14:08.000Z,0,0,0,0,1493438453090222080
"@TheDefiJedi @terrabayio @terra_money @luart_io Thank you so much !
@frozen_xaris @PanagioAggelo @themismufn",884568713982164992,565836274,1493142565528301568,2022-02-15T04:11:47.000Z,0,0,0,0,1493437862972465154
"@knowhere_art @terra_money The project is implemented professionally and has a clear development plan. Made by a very professional and experienced team. Without doubt, this is one of the best project.

@chanyatlon
 
@YZM0755
 
@Shenjiajun6",1438400822040154115,1478576828268756996,1478712916413071363,2022-02-15T04:09:02.000Z,0,0,0,0,1493437168513028096
@dancreee @terra_money for sure ser!!,1346384288690831360,47754498,1493150493530804226,2022-02-15T04:07:37.000Z,0,0,0,0,1493436812416925696
"@iSafePal @terra_money #GameFi is trending 👀

What are you playing these days? Tag your favorite GameFi 👇",1068417957686992896,1483403942839332868,1483749179625467908,2022-02-15T04:06:40.000Z,1,0,1,0,1493436572166881287
@arthuryeti @terra_money I'll visit when i'm in the Gu 🤓,47754498,1346384288690831360,1493150493530804226,2022-02-15T04:06:37.000Z,0,1,1,0,1493436559571693570
"@iSafePal @terra_money #GameFi is trending 👀

What are you playing these days? Tag your favorite GameFi 👇",1068417957686992896,1483403942839332868,1484586600860467200,2022-02-15T04:05:36.000Z,0,0,1,0,1493436306398998530
"@iSafePal @terra_money #GameFi is trending 👀

What are you playing these days? Tag your favorite GameFi 👇",1068417957686992896,1483403942839332868,1491020312523452419,2022-02-15T04:05:11.000Z,0,0,1,0,1493436198542401536
"@simonch00 @RG3KRR9s5roB6m2 @kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot Hahaha. The thing is I also think my official national ID looks sketchy, maybe the ramp still needs more data on those IDs",1389537241450434567,318390799,1493329269291986948,2022-02-15T04:04:34.000Z,0,0,0,0,1493436044615696384
"@spcpza @RG3KRR9s5roB6m2 @kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot Well in general Australia’s critical thinking ability is underdeveloped, so not sure we count 😂😂 

Yeah I’m not sure hey",318390799,1389537241450434567,1493329269291986948,2022-02-15T04:02:28.000Z,0,1,0,0,1493435515391311881
@simonch00 @spcpza @kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot Woo! Will try again. Thank you ser!,1389537241450434567,1384451540975452162,1493329269291986948,2022-02-15T04:01:50.000Z,0,0,1,0,1493435355894194180
"@RG3KRR9s5roB6m2 @spcpza @kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot Yep it did! 
I think I had an issue first time around actually",1384451540975452162,1389537241450434567,1493329269291986948,2022-02-15T04:01:08.000Z,0,1,0,0,1493435181658959873
"THE MONEY FLOW IN BLOCKCHAIN BY TVL

Check out the surge in TVL at the time money flowed into @ethereum @0xPolygon @BinanceChain @avalancheavax @solana @FantomFDN and @terra_money

The questions are: When Celo? How long will it be? How huge the growth in Celo TVL can be?

#CELO https://t.co/opVWW7ZVDy",,1479713332911570949,1493434628249559040,2022-02-15T03:58:56.000Z,9,0,17,0,1493434628249559040
"@kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot You guys must have the decimal point in the wrong place. A $1000.00 daily limit that only rises to $5000.00 after a month of consistent use??? Move your daily limit to $100,000 and you'll be hardpressed to handle all of the business that will come your way.",1348866857672069123,1445223311978516490,1493329269291986948,2022-02-15T03:57:28.000Z,0,0,0,0,1493434257892642819
"THE MONEY FLOW IN BLOCKCHAIN BY TVL

Check out the surge in TVL at the time money flowed into @ethereum @0xPolygon @BinanceChain @avalancheavax @solana @FantomFDN and @terra_money

The questions are: When Celo? How long will it be? How huge the growth in Celo TVL can be?

#CELO https://t.co/ZFDLpfWuIT",,1442738420678156293,1493434163168706561,2022-02-15T03:57:05.000Z,4,2,26,0,1493434163168706561
"@GlitterFinanceC 
Roadmap and Milestones
#XGLI #GlitterFinance
#DeFi #AI #DEX
@CoinMarketCap @coingecko @HuobiGlobal @kucoincom @bitfinex @solster @solstarterorg @AegisLaunchpad @AlgodexOfficial @coinstore_en #CEX
@Algorand
@AlgoFoundation
@solana
@CUDOS_ 
@0xPolygon
@terra_money",1446114723829747728,1443781057703145473,1493434009552310272,2022-02-15T03:56:29.000Z,1,0,0,0,1493434009552310272
@simonch00 @spcpza @kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot Got stuck at the address page… did Australia address work? 🤔,1389537241450434567,1384451540975452162,1493329269291986948,2022-02-15T03:55:41.000Z,0,1,1,0,1493433809236213760
"@GlitterFinanceC 
Strategic Partners

#XGLI #GlitterFinance
#DeFi #AI #DEX
@CoinMarketCap @coingecko @HuobiGlobal @kucoincom @bitfinex @solster @solstarterorg @AegisLaunchpad @AlgodexOfficial @coinstore_en #CEX
@Algorand
@AlgoFoundation
@solana
@CUDOS_ 
@0xPolygon
@terra_money",1446114723829747728,1443781057703145473,1493433610690789380,2022-02-15T03:54:54.000Z,1,0,0,0,1493433610690789380
@knowhere_art @terra_money Good Project,1438400822040154115,1474634374045782022,1478712916413071363,2022-02-15T03:53:12.000Z,0,0,0,0,1493433182863368192
@simonch00 @RG3KRR9s5roB6m2 @kado_money @terra_money @TerraBitesPod @terraspacesorg @TerraCrumbs @anchor_protocol @PrimeTrustCo @stablekwon @sjpark_TFL @Remi_Tetot Is it developed countries only? 😂,1389537241450434567,318390799,1493329269291986948,2022-02-15T03:50:01.000Z,0,1,1,0,1493432385521668098
