text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
@0xLeHuu @heydchang @stablekwon @terra_money @THORChain + $RUNE block rewards for liquidity providers,0,0,1,0,2836479360,1482102803581616134,947427910998220800,2022-01-15T04:59:11.000Z,1482215766397276161
"@seb3point0 @stablekwon @terra_money lately Terra has been increasing their curve bribes

ask him his thoughts on the Curve war and how that plays into UST's liquidity strategy",0,0,1,0,15306082,1481696773697589248,18894874,2022-01-15T04:57:57.000Z,1482215457658703879
"@Casa_Intern @terra_money @staderlabs @CoinList @prism_protocol Everything is coming together around the same time. Cosmos ecosystem too. I like the threads, but I also like following bread crumbs. Terra has a smart crowd. I would try different methods to see how engagement is or ask for feedback and see what others think.",0,0,0,0,2347750039,1482194285000753152,70298556,2022-01-15T04:56:57.000Z,1482215203353681927
@fleece_cannon @terra_money @redkiho @rtanada_ @BTrunn @OrionJSmith @minparkfinance Shit how do we find out about the next one?,0,0,3,0,1014168084,1482187704062255105,1448438872854069253,2022-01-15T04:55:42.000Z,1482214890563534850
@Ithiel @staderlabs @CoinList @terra_money haha me2....again....again...&amp; again,0,0,1,0,16624447,1481764480225021952,1221714030756151298,2022-01-15T04:54:02.000Z,1482214469006929920
@jaeakareborn @OutletFinance @Mastercard @terra_money @LeLunaGuru @justinshwee @Meepokkkk @Tangwy5 WHERE!!!!!,0,0,0,0,2212880382,1482113212766117893,151920698,2022-01-15T04:53:54.000Z,1482214438069764099
"@OutletFinance @Mastercard @terra_money Looking forward to spend my $UST 

@LeLunaGuru @velt91 @justinshwee @Meepokkkk @Tangwy5",0,1,2,0,1126213538475847680,1482113212766117893,2212880382,2022-01-15T04:51:48.000Z,1482213909277061125
@terralysis @terra_money open DM ser,0,1,0,0,1455543124902785028,1481914871495413762,9532092,2022-01-15T04:49:21.000Z,1482213290151661570
"@C0mbatvv0mbat @angelprotocol @TerransNFT @terra_money First of all, bullish on @HellCatsNFT, obviously.

We will have @ExoTerraNFTs and @_Astro_Heroes for gaming on Terra, looking fwd how it will be when launch.

@colonies_nft is also cool!!

The only problem is I don’t have much liquidity 😆",1,1,5,0,1047320182597644289,1482149534507487233,1049145467945213953,2022-01-15T04:49:11.000Z,1482213247470432260
@C0mbatvv0mbat @angelprotocol @TerransNFT @terra_money @Levana_protocol 🐉 very exited to see Defi ➕ NFTS ➕ Gamefi. Making Defi fun! 🤝 #childhood,0,0,2,0,1047320182597644289,1482149534507487233,1416643939,2022-01-15T04:47:18.000Z,1482212774873006081
