conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1459927074295070722,206004862,0,1,0,0,1460108666409947138,@GabrielGFoo @astroport_fi @terra_money @threadreaderapp unroll,2021-11-15T04:53:28.000Z,1235559077318516736
1459938337909731330,1456009031391219717,0,0,0,0,1460108252188852230,@GoochiNFT @terra_money omg cuteeee! how do i get my hands on it?,2021-11-15T04:51:49.000Z,1445554590653423625
1460106908711505920,,23,6,67,3,1460106908711505920,"A few years old now. But an excellent monologue explaining the issue with Central Banks.

This is why #Cryptos built on #blockchain tech developing #DeFi protocols are so fundamentally critical to the future of #FinancialFreedom!

@terra_money $UST is the answer to this problem! https://t.co/iAXhajTyk5",2021-11-15T04:46:29.000Z,1391400998401462277
1456692313485312001,1282956858664185856,0,0,0,0,1460106790620729351,@Coin98Analytics @BinanceChain @FantomFDN @terra_money @avalancheavax @0xPolygon @wavesprotocol @CeloOrg @arbitrum @HECO_Chain @PolyNetwork2 ETH is still a winner take all .,2021-11-15T04:46:01.000Z,1460104800746414080
1460085047059382278,30325257,0,0,0,0,1460106774598488068,@TheCryptoLark Add @terra_money and @0xPolygon to that and you’re all set really,2021-11-15T04:45:57.000Z,1315078420578004992
1459985317646286858,1409584939981414418,0,0,0,0,1460106261278572544,"@Xantus_Insights @ethereum @BinanceChain @solana @terra_money @avalancheavax @Tronfoundation @FantomFDN @0xPolygon @ArbitrumNews @wavesprotocol Must join this project 👍
@kusumkhadka369 
@kumarkhadka369 
@kamalakhadka369 
@aarkukhadka @Aarushkhadka369 
@ReshmaKhadka369",2021-11-15T04:43:54.000Z,1352031027976404992
1459253276852035588,1273384503210160128,0,0,0,0,1460105056024465410,@808_Investor @tztokchad @dopex_io @mirror_protocol @terra_money Update: I’m in 😎,2021-11-15T04:39:07.000Z,1355568474387591169
1459973266739585024,1381887820206206986,0,1,0,0,1460104577341026310,@pylon_protocol @limowooj @wengzilla @TerraBitesPod @terra_money One button claim all? Yes please!,2021-11-15T04:37:13.000Z,43513721
1460102289956376577,,44,3,204,3,1460102289956376577,"🧵 Upcoming events on @terra_money ecosystem

▪ TGE event - @TeamKujira
▪ End of CFE phase 2 - @ApolloDAO
▪ Community farming guide - @staderlabs
▪ The charity auctions📦
@Astroverse_NFT @ExoTerraNFTs @TerransNFT @STYLLARNFT @nft_skulls @Hero_NFT_  @LunaKiddy

Source @danku_r https://t.co/1jLTZbm3z4",2021-11-15T04:28:07.000Z,1406995344483704832
1459927074295070722,206004862,0,0,1,0,1460101746882068485,@GabrielGFoo @astroport_fi @terra_money Wow. Thank you for this thread! I had high expectations on @astroport_fi and you make me even more bullish!,2021-11-15T04:25:58.000Z,258058732
1459994552601821187,1953841016,0,0,0,0,1460100406093230083,"@Remi_Tetot @astroport_fi @terra_money @PopsicleFinance @danielesesta @squirrelcrypto @LickMyRomy 

This needs popsicle ser https://t.co/p3Kfsfowgl",2021-11-15T04:20:38.000Z,582384340
1460074516542103553,292565344,0,0,1,0,1460100356789006337,@zGuz @terra_money Preach it Zack!,2021-11-15T04:20:27.000Z,1440823905397067779
1459927074295070722,206004862,0,0,0,0,1460100037673848839,@GabrielGFoo @astroport_fi @terra_money GO AND VISIT $DEXA COUNTER IN #BlockchainEconomyExpo DUBAI AND YOU WILL COME TO KNOW HOW INNOVATION LOOKS LIKE https://t.co/eD7VhGKolm,2021-11-15T04:19:10.000Z,1038114238307303424
1460074516542103553,292565344,0,0,5,0,1460099280018939909,@zGuz @terra_money #luna is next #eth,2021-11-15T04:16:10.000Z,1397999753246351362
1459872434371371009,1431685710847881220,0,0,2,0,1460097876273422339,"@weNFT_ @terra_money @TerraLunaTix @LunArt_NFT @TerraBitesPod @terra__vegas @OutletFinance @tns_money @WhirlwindFi @TerraLUNADaily @knowhere_art I just see most of these cards up for sale, and have had my own up for a while, no one seems to want to buy them. What are going to be long term benefits for holding these cards? Wont it drop value if you release another batch already?",2021-11-15T04:10:35.000Z,1063144983111188480
1459872434371371009,1431685710847881220,0,1,2,0,1460097358188793856,@weNFT_ @LunArt_NFT @terra_money @TerraLunaTix @TerraBitesPod @terra__vegas @OutletFinance @tns_money @WhirlwindFi @TerraLUNADaily @knowhere_art So blessed to be part of one of the most amazing ecosystems around 😍,2021-11-15T04:08:32.000Z,1358288511577694208
1442979502368321542,1351154915918426112,0,0,0,0,1460096187848015875,"@thomasbroficial @Coin98Analytics @coin98_exchange @BreederDodo @BinanceChain @avalancheavax @OKExChain @harmonyprotocol @FantomFDN @terra_money @QuickswapDEX @arbitrum Meda is the REAL DEAL
You gotta look into $MEDA! 
-Gonna have its very own blockchain!
-Lots of airdrop happening!!
-Stake at SafeSwap,Lbank, and BankerDoge!!!
-Biggest Celebrities Promoting Medacoin!!!!
#Medatonians going to #Andromeda

#medacoin 
https://t.co/u845nV0FdO",2021-11-15T04:03:53.000Z,1453504795784859648
1460074516542103553,292565344,0,0,4,0,1460096150879432709,@zGuz @terra_money Luna is very underestimated,2021-11-15T04:03:44.000Z,1413670790684233730
