conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1493156368810872838,1454084218368057351,0,0,2,0,1493449816227069954,@getpipcom @solana Github,2022-02-15T04:59:17.000Z,1258033048148459521
1468752006340874243,927805704466919424,0,0,0,0,1493449802197123075,@OrionDepp @solana @Orion__Research @Orion__Trading Done,2022-02-15T04:59:14.000Z,839105115328032768
1493449792743161859,,1,1,3,1,1493449792743161859,"Today is the 15th of February &amp;  @Binance HAS YET to list $KIN 

- #Web3 Token
- No.1 on @solana blockchain with 64 Million out of 128 Million wallets
- 2.4 Million active Holders
- Used in over 60 Apps
#100xgem @kreechures #META
#KINARMY
@cz_binance @BinanceUS #Binance #KIN https://t.co/89ePZOPLSd",2022-02-15T04:59:12.000Z,1337478595023867905
1493449546663403520,1469085088583491590,0,0,0,0,1493449680537403397,"@hawt_fox @MagicEden_NFT @solana @SolRarity_ @U_M_G_D 💎DOGELONFLOKI💎
SC 300BNB
HC 600BNB
KYC✅
Pinksale presale: 16/02/22
✅ 15% buy/sell/transfer tax
✅ 10% BUSD rewards
✅ 2% to liquidity 
✅ 1% buyback and burn
✅ 2% to marketing

Tg: https://t.co/b2ig8Yg5VW
Web:https://t.co/s5TBuUROHw 
Twitter: https://t.co/nPJug01LDC",2022-02-15T04:58:45.000Z,2500088198
1468752006340874243,927805704466919424,0,0,0,0,1493449554959740929,"@OrionDepp @solana @Orion__Research @Orion__Trading After Valentine’s 
Be Mine 
https://t.co/8rBnf15fly…
🤍💚💙🌹
#14defebrero",2022-02-15T04:58:15.000Z,1023895077490515968
1493449546663403520,,9,6,18,3,1493449546663403520,"Fox: ""Come in Team @hawt_fox ""
Team: ""Go ahead Fox""
Fox: ""Approaching Solana Ser"" 🌀
Team: ""Roger. ENJOY THE RIDE"" 🚀

#Solana #SolanaNFTs #NFT #NFTs #NFTCommunity #NFTGiveaway #Ethereum #eth #Crypto #cryptocurrency  @MagicEden_NFT @solana @SolRarity_ @U_M_G_D #art Like-RT-Follow https://t.co/BFJPoSGWU4",2022-02-15T04:58:13.000Z,1469085088583491590
1493119888189239297,1442544956862709768,0,0,0,0,1493449405059538944,@gapesonsol @TierraDivina1 @metavillageNFT @solana cute house!!!,2022-02-15T04:57:39.000Z,1486430837742710789
1493443702685118466,1491138594697797640,0,0,0,0,1493449400718610435,"@hackerhouses @solana Urgent News!
 
Impending global food crisis! 
An astonishing solution!
An introduction to the happiest place on earth! A place that is COVID-free and mask-free!""

https://t.co/xFSXFRgiUy",2022-02-15T04:57:38.000Z,1484670409392144384
1490712569304260618,67688279,0,0,0,0,1493449309622181890,@ulevent77 @Ledger @solana You can now.  New Solana app.  Have to turn on experimental features under settings.  then Solana app is available.  Available in latest Ledger Live app update,2022-02-15T04:57:17.000Z,24970107
1493427580493385730,14596740,1,2,6,1,1493449208547975170,"@anniekatrina @lukemulks @solana @brave Free WiFi, music streaming through @audius, eventual NFT rewards program, and soon #SolanaPay which will likely run on @brave 

What can I make for you today, fren? https://t.co/d6wxk4iqFf",2022-02-15T04:56:52.000Z,1396608816830164998
