text,in_reply_to_user_id,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id
@DylanMacalinao @solana OMG yes and I have to spent whole minute doing this 😬,226718605,98024691,1482153168335106048,2022-01-15T04:59:51.000Z,0,0,0,0,1482215932894367746
"@5KaH5zBfcIRWDBy @solana We sincerely apologize for any inconvenience caused on your account .
Kindly get in touch with us via DM
by clicking on the below button

https://t.co/GntWDczMFJ",1392482217423564802,1424470691982761988,1482094494489190408,2022-01-15T04:59:45.000Z,0,0,0,0,1482215909330759680
@0xAlice_ @DylanMacalinao @solana @JupiterExchange Wait a damn second...,1394351047607562244,1629773023,1482153168335106048,2022-01-15T04:59:34.000Z,0,1,1,0,1482215863977582592
"@Saros_Finance @solana @Saros_Finance
 and 
@solana
Thanks for giving us such a great opportunity.
I love this project. This will team go to the moon soon.
Thank you for the opportunity 

@Shajhanxp35

@Hardidolay
 
@smgoster

@AlifMuskan
 
@cloud_andri",1304982931476066304,1361114324157145088,1437778801656750082,2022-01-15T04:59:19.000Z,0,0,0,0,1482215797678555146
"If you are curious about differences and similarities between L1 protocols (@solana, @avalancheavax, @NEARProtocol), check out this excellent discussion with @hosseeb and @naval from earlier today:

 https://t.co/Jo6sONLekj",,25953324,1482215576097345537,2022-01-15T04:58:26.000Z,0,3,11,0,1482215576097345537
@OrionDepp @solana @Orion__Research @Orion__Trading Nice Project ....Never Give Up...Keep growing,927805704466919424,1026830604900298753,1468752006340874243,2022-01-15T04:56:09.000Z,0,0,0,0,1482215003843592192
@solana That name though,951329744804392960,339173562,1482045683364511759,2022-01-15T04:56:07.000Z,0,1,1,0,1482214993428815872
@OrionDepp @solana @Orion__Research @Orion__Trading Done,927805704466919424,815264305692057600,1468752006340874243,2022-01-15T04:55:21.000Z,0,0,1,0,1482214803276185601
"@solanatiger_slt @CoinMarketCap @coingecko @solana @RaydiumProtocol This is a project that will be very useful in the future because it is supported by a professional team with great goals and big plans for the future. It will be successful and will make history in the crypto world.👍
@Shahin61918436 
@Hawrekurdd 
@hooman_k99 
@Shilankurd1",1480816604388929536,1475416022199029762,1481471685291573254,2022-01-15T04:54:38.000Z,0,0,0,0,1482214621100470273
@OrionDepp @solana @Orion__Research @Orion__Trading Done following accounts.,927805704466919424,1468238994593005578,1468752006340874243,2022-01-15T04:51:09.000Z,0,0,0,0,1482213745451438081
@CryptoDiffer @binance @cz_binance @FantomFDN @MoonbeamNetwork @OasisProtocol @NEARProtocol @0xPolygon @solana @Polkadot @dogecoin #LovelyInuFinance @Lovely_Finance_ @Lovely_finance support to Lovely inu  don't forget it will shine in 2022 Certik Audit completed.already listed in #MEXCGlobal now going to list #Binance please keep in your portfolio @S_carlettt,963815487481303040,825983253769129988,1481938890915258369,2022-01-15T04:51:03.000Z,0,0,0,0,1482213720898293760
"The @BoredApeYC on @solana 

Ruff RUFF 
@SoulDogsNFT TO THE MOON
#SoulDogs #SolanaNFTs https://t.co/zm5eMWHOIS",,1376206304960729095,1482213265929342982,2022-01-15T04:49:15.000Z,0,0,2,0,1482213265929342982
@StunsAmuba29 @holaplex @solana @SolanaNFTs @NFTindonesia_ @idnft_ Promote it on @nftsaddiction,1009934288,1455485396956028933,1482213003726843905,2022-01-15T04:49:15.000Z,0,0,0,0,1482213264922910726
@steveaoki @trolexnft @solana Yo wats up my guys let’s go REDBEARD FOR THIS WIN First time being able to have one in first time getting into it so we’re going to start with,17019152,1441660029510184961,1475957796289925122,2022-01-15T04:48:31.000Z,0,0,0,0,1482213082030133248
"AUCTION is LIVE NOW! 100 Unique #bardudz #01
@holaplex
 
Start bid: 0.5 SOL
Tick size: 0.1 SOL
Duration: 60 Hours
. 
link holaplex:
https://t.co/UsLDhPTmbA

#SolanaNFTs #Solana #NFTCommunity #nftcollector #bardudz @solana @SolanaNFTs @NFTindonesia_ @idnft_ https://t.co/PbjQFXwo0c",,1009934288,1482213003726843905,2022-01-15T04:48:12.000Z,1,2,7,3,1482213003726843905
@solana Sol the best there is!,951329744804392960,1461580855256641539,1482094494489190408,2022-01-15T04:48:11.000Z,0,4,2,0,1482212997611548672
@solana I recieved this NFT and its claiming to be Official Solana NFT and when i went to the site my funds were drained! https://t.co/5zhWysdO6x,951329744804392960,917546969538510849,1482212916124274690,2022-01-15T04:47:52.000Z,0,1,1,0,1482212916124274690
"@CryptoDiffer @binance @cz_binance @FantomFDN @MoonbeamNetwork @OasisProtocol @NEARProtocol @0xPolygon @solana @Polkadot @dogecoin Alpha Impact would like to wish everyone a Happy 2022!

2021 has been an exciting year for us &amp; we'd like to thank you for your constant support

Stay tuned for exciting updates coming

Check our roadmap for upcoming updates in 2022
https://t.co/QQjHkjNeB0 https://t.co/p73ThOc3BN",963815487481303040,1476798943577063424,1481938890915258369,2022-01-15T04:45:50.000Z,0,0,0,0,1482212407652937729
@CryptoDiffer @binance @cz_binance @FantomFDN @MoonbeamNetwork @OasisProtocol @NEARProtocol @0xPolygon @solana @Polkadot @dogecoin When will you be listing @vEmpiredigital's $VEMP token? They are the worlds biggest decentralised Metaverse investor 🚀,963815487481303040,756154848660238337,1481938890915258369,2022-01-15T04:44:45.000Z,0,0,0,0,1482212133966331908
"We've uploaded a recording of The L1 Wars: @solana @avalancheavax @NEARProtocol that was hosted by @hosseeb @aeyakovenko @naval @ilblackdragon @el33th4xor

https://t.co/rZMTa8X0QU
#L1Wars #Solana #AVAX #NEAR",,1477144032513953793,1482211869385445383,2022-01-15T04:43:42.000Z,0,0,1,0,1482211869385445383
@borgenthebear @solana Hey Borgen Crew! Please DM Me. i have an offer for you!,1481065319372308481,969971641051738112,1482133993504006147,2022-01-15T04:43:00.000Z,0,0,0,0,1482211694793609218
@solana It takes lots of clapping for each new comer,951329744804392960,1431506608740130817,1482094494489190408,2022-01-15T04:41:45.000Z,0,2,2,0,1482211377112821761
@mattwyndowe @solanalabs @solana Welcome on board Matt! 😊,3696961,777889321441386496,1482068776275251203,2022-01-15T04:38:18.000Z,0,0,0,0,1482210509189713920
@Solrazr_App @HubbleProtocol @solana How huble usd will compete with old stables?,1383409972143280128,1461807747792576523,1481889404969189376,2022-01-15T04:35:37.000Z,0,0,1,0,1482209834745401345
"@Saros_Finance @solana This is a Fantastic project with great potential.The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world. I am so glad to be part of this.
@Donicuan1
@Val4r1 
@LHqolbi 
@joserian138 
@Chopi71",1304982931476066304,1361543302030393348,1437778801656750082,2022-01-15T04:35:32.000Z,0,0,0,0,1482209812444516355
"Take Advantage 
Take Advantage 

These prices like Jordan's baby they about to be out of here

Buy The Dip
Buy The NFT's 
Be wise but Don't Ever Be Scared 🩸🦈

@solana 
@SolanaDoodleApe 
$SOL
#buythedip https://t.co/1LcqhgZgxP",,1451242417672368132,1482209754650976256,2022-01-15T04:35:18.000Z,0,0,2,0,1482209754650976256
@OrionDepp @solana @Orion__Research @Orion__Trading Done,927805704466919424,1290147526960533506,1468752006340874243,2022-01-15T04:35:16.000Z,0,0,0,0,1482209748103483398
"@pushpendrakum With that we are going to see more downtime on these networks as well.

Last year @solana was down for 12 hrs.

Long way to go ✌️",138073453,1150444209695969280,1482208169099395073,2022-01-15T04:34:31.000Z,0,0,0,0,1482209559972556805
"Latest news update in @solana ecosystem!

#TheAstronautnews #Solana $SOL https://t.co/Y6ZfCWrQK5",,1382983616527958016,1482208820030246914,2022-01-15T04:31:35.000Z,5,1,23,0,1482208820030246914
@OrionDepp @solana @Orion__Research @Orion__Trading Done,927805704466919424,2501659439,1468752006340874243,2022-01-15T04:30:59.000Z,1,0,1,0,1482208667722207237
@mattwyndowe @solanalabs @solana Congrats!,3696961,1467257596428132359,1482068776275251203,2022-01-15T04:29:25.000Z,0,0,4,0,1482208273004740610
@OrionDepp @solana @Orion__Research @Orion__Trading Winner 🏆 2&gt;/28/22,927805704466919424,1475578331697332226,1468752006340874243,2022-01-15T04:27:20.000Z,0,0,0,0,1482207751795355655
"@solsnake_solana @CoinMarketCap @coingecko @solana @RaydiumProtocol @elonmusk This is going to huge project
@OTeverj
@Tushy26107573
@Atelumotu

#SolSnakeAirdrop
Follow @solsnake_solana
Like, RT pin with hashtag #SNK #SolSnake #Airdrop #Airdrops #SolanaAirdrop #SolanaAirdrops",1481646705456316416,4155426915,1481670562548416513,2022-01-15T04:26:16.000Z,0,0,0,0,1482207483590582275
@dablacksnft @BoredApeYC @solana @SoulDogsNFT Promote it on @NFTdevelopclub,1376206304960729095,1481627167876280332,1482207382289661953,2022-01-15T04:26:15.000Z,0,0,0,0,1482207479220293632
@OrionDepp @solana @Orion__Research @Orion__Trading Winner 🏆 2/28/22,927805704466919424,1475578331697332226,1468752006340874243,2022-01-15T04:25:59.000Z,0,0,0,0,1482207412547473411
"RUFF-RUFF
It's not too late to join the @BoredApeYC on @solana 👉🏿 @SoulDogsNFT is the #BAYC on solana. It was launched Jan 14 over +6k Solana traded already. Join the big Dogs 

#SoulDogsNFT #SolanaNFTs #NFTs #SolanaDogShow https://t.co/nJmE3o30c6",,1376206304960729095,1482207382289661953,2022-01-15T04:25:52.000Z,1,1,4,1,1482207382289661953
Is @solana and CT ready for what the @RareDonNFT is about to bring?,,1390985470171963393,1482207369312768000,2022-01-15T04:25:49.000Z,0,0,2,0,1482207369312768000
@pdtnft @solnftradar @solana Promote it on @NFTdevelopclub,1459129955464331265,1481627167876280332,1482207051288055809,2022-01-15T04:24:59.000Z,0,0,0,0,1482207157403922436
@pdtnft your artifacts are being generated as we speak @solnftradar @solana #NFTs #NFTCommmunity https://t.co/WHi5P7UGVs,1459129955464331265,1459129955464331265,1482207051288055809,2022-01-15T04:24:33.000Z,6,1,20,4,1482207051288055809
@OrionDepp @solana @Orion__Research @Orion__Trading I love this project,927805704466919424,1475578331697332226,1468752006340874243,2022-01-15T04:24:23.000Z,0,0,0,0,1482207009760030723
@solanaconnor @WoofSolana @solana_daily @solana @WoofersNFT @WoofDao @WoofDaily_Sol Count me in !,1457331482486321153,1236717068332019715,1482052282229395461,2022-01-15T04:23:55.000Z,0,0,1,0,1482206891262590983
"@solanatiger_slt @CoinMarketCap @coingecko @solana @RaydiumProtocol This is a nice and fantastic project.. I can't wait to participate in this amazing project with great prospects and great team.
@justkaz_ @Ner_ella_hub @pholarshewa 

#ST #SolanaTiger #Airdrops #SolanaAirdrops",1480816604388929536,711307335646494720,1481471685291573254,2022-01-15T04:23:52.000Z,0,0,0,0,1482206878658613250
@solana #TykeTakeover has arrived. It’s a lifestyle 💎💎💎 @highsocietynfts https://t.co/k0dltsVWzO,951329744804392960,94603341,1482206847557791746,2022-01-15T04:23:45.000Z,0,0,0,0,1482206847557791746
"@MikeTyson 

WELCOME HOME
Don't call it a come back 🦈
 @solana 💎
@SolanaNews

#SolanaNFTs 
#solanadoodleapes 
#MOONSHOT https://t.co/I09Ek41bAQ",156132825,1451242417672368132,1482206799013027847,2022-01-15T04:23:33.000Z,0,0,0,0,1482206799013027847
@OrionDepp @solana @Orion__Research @Orion__Trading Great project,927805704466919424,1475578331697332226,1468752006340874243,2022-01-15T04:23:09.000Z,0,0,0,0,1482206696609099776
@mattwyndowe @solanalabs @solana Welcome!!,3696961,15670058,1482068776275251203,2022-01-15T04:22:17.000Z,0,0,1,0,1482206479356776452
@ugotpauld @TheSlateWallet @do_baleia @_portals_ @solana can buy 40x the games now 😂,109861452,1355505712416305153,1463667907687161857,2022-01-15T04:21:28.000Z,0,0,0,0,1482206272707571717
@TheSlateWallet @do_baleia @_portals_ @solana lol best 2.4 you've ever spent,1006766635217276929,1355505712416305153,1463667907687161857,2022-01-15T04:20:58.000Z,0,0,0,0,1482206146438041601
"@OrionDepp @solana @Orion__Research @Orion__Trading Are you serious $3000??? Oke, job done sir 💪😁",927805704466919424,1287110996826316800,1468752006340874243,2022-01-15T04:20:40.000Z,0,3,2,0,1482206073889357825
@Mannnie_ @ManLikeChoo @FLOOF_SOLANA @solana They are building but you say stagnant when you are only used to pump and dump,1195082253656903681,598172468,1482105145773240322,2022-01-15T04:20:02.000Z,0,1,0,0,1482205912941137923
"@Solrazr_App @HubbleProtocol @solana I have noticed that they are one of the few projects that prioritize their users when rewarding them, since they give them not a certain percentage of the transaction fees, but 100% of them, so where do you get income for development and marketing costs that the project needs?",1383409972143280128,1466766579949965318,1481889404969189376,2022-01-15T04:19:10.000Z,0,0,0,0,1482205697014378496
@SOLstonez @villageofsol @MagicEden_NFT @solana Matriach of the Order head....sheesh! Bussin https://t.co/Cx6sXwbATc,1467390962838106112,1326564304594743296,1482154225601634309,2022-01-15T04:18:49.000Z,0,1,5,0,1482205606568075266
@MetakingsAI Project good @MetakingsAI @binance @solana,1461145081956732929,962580489155432448,1479477691837558789,2022-01-15T04:18:47.000Z,0,0,0,0,1482205598049611777
